30 students in total

num		ID				name			Chinese		Maths		English		Physics		Chemistry	Politics
01		G4422686		mushroomwjy		131.5		145			138			105			96			97.5	
02		21323523		future			150			150			150			110			100			100
03		T1324556		PeppaPig		140			129			142			102.5		94.5		94
04		G4422632		BrotherJie		90			104			129			93			87			90
05		shuzhi66		caixukun		60.5		39			59.5		67			83			70.5
06		G4422634		ZhuXiaoyue		129			138.5		131			99			87.5		92
07		T3298478		CrazyDave		120			92			39			108			79			94.5
08		JS128382		AbaAba			118			120			116.5		70.5		92			74	
09		JT234889		ZhangJian		128			119			132			40.5		70			86
10		2348GR23		HelloWorld		123			141			130			90			90.5		92
11		GD238489		Main			140			149			137			103			98			90.3
12		GD392042		Merlin			130			128.5		126			110			93			96
13		RS239482		Stanford		127			124.5		135			94			83			92
14		JAR32985		RenYiChen		119			150			142			102			93			95
15		TAO29485		ZhangFeng		142			132			129.5		106			94			87
16		32847914		Percey			130			129			142			98			83			100
17		23948248		Marker			129			142			120			109			92			89
18		92384748		Bock			132			147			126.5		98			90			85.5
19		KL329823		Wilkins			123			118			123.5		103			95			95.5
20		LE923487		JiaMian			130			142			134.5		102			93			83
21		LW348823		LiXuan			122			132.5		135			80			83			96
22		98325834		YanQiyue		128			121			136.5		98.5		92			90
23		23894821		Tony			129			120			140			97.5		99			96		
24		JS114514		Cansanel		138			150			146.5		106			90			93.5
25		84394852		LinYuan			139			142.5		127			98			94.5		95
26		G3294589		WeiZhen			129			141			135			102			90			90
27		JS128392		Mickey			103			120			142			93			87.5		91.5
28		YS289482		JoeBiden		93			104			136			80			79.5		50
29		JD389471		Trump			150			130.5		142			95.5		84			100
30		G4423453		GuoYu			132			125.5		132			90.5		87			93
